Snippet,CWE,Target
"
{
 string var_JYQACK;
 if (var_62NC6A.var_P3D8I7) 
{
 var_JYQACK = """";
 
{
 try 
{
 using (var_T8RX0T var_8QXWR3 = new var_T8RX0T(""host.example.org"", 39544)) 
{
 using (var_KELRV0 var_4BR6CO = new var_KELRV0(var_8QXWR3.var_XSI6K3())) 
{
 var_JYQACK = var_4BR6CO.var_IWQVAX();
 }
 }
 }
 catch (var_DFMV1E var_C71ATA) 
{
 var_62NC6A.var_QWS8OS.var_LBI2XI(var_S3Q8XZ.var_DLU2J2.var_8DPTFA, var_C71ATA, ""Error with stream reading"");
 }
 }
 }
 else 
{
 var_JYQACK = null;
 }
 var_DYIKQV var_AJFX1A = null;
 try 
{
 var_AJFX1A = var_62NC6A.var_P2C4FL();
 var_AJFX1A.var_3EZH41 = @""Data Source="" + """" + "";
Initial Catalog="" + """" + "";
User ID="" + var_JYQACK + "";
Password="" + """";
 var_AJFX1A.var_OLKLAJ();
 }
 catch (var_0WILRO var_HH5DDR) 
{
 var_62NC6A.var_QWS8OS.var_LBI2XI(var_S3Q8XZ.var_DLU2J2.var_8DPTFA, var_HH5DDR, ""Error getting database connection"");
 }
 finally 
{
 try 
{
 if (var_AJFX1A != null) 
{
 var_AJFX1A.var_SXUOGB();
 }
 }
 catch (var_0WILRO var_HH5DDR) 
{
 var_62NC6A.var_QWS8OS.var_LBI2XI(var_S3Q8XZ.var_DLU2J2.var_8DPTFA, var_HH5DDR, ""Error closing Connection"");
 }
 }
 }
",CWE15,1
"
{
 string var_SDYZER;
 if (var_D5LYYH == 5) 
{
 var_SDYZER = """";
 
{
 var_N99SD5 var_NJGFB1 = var_C7KUQ5.var_3NEIWI;
 if (var_NJGFB1 != null) 
{
 var_SDYZER = var_NJGFB1[0].var_I6UP3T;
 }
 }
 }
 else 
{
 var_SDYZER = null;
 }
 var_3HIZZC var_BZ4W09 = null;
 try 
{
 var_BZ4W09 = var_HMW4VW.var_Q6OQ9V();
 var_BZ4W09.var_LIB23R = @""Data Source="" + """" + "";
Initial Catalog="" + """" + "";
User ID="" + var_SDYZER + "";
Password="" + """";
 var_BZ4W09.var_28DAW6();
 }
 catch (var_LATYGE var_SAD852) 
{
 var_HMW4VW.var_A4IV77.var_W5092T(var_BU47F2.var_A1B2H6.var_Y1RFE5, var_SAD852, ""Error getting database connection"");
 }
 finally 
{
 try 
{
 if (var_BZ4W09 != null) 
{
 var_BZ4W09.var_8KAX43();
 }
 }
 catch (var_LATYGE var_SAD852) 
{
 var_HMW4VW.var_A4IV77.var_W5092T(var_BU47F2.var_A1B2H6.var_Y1RFE5, var_SAD852, ""Error closing Connection"");
 }
 }
 }
",CWE15,1
"
{
 string var_HX644U;
 var_HX644U = """";
 
{
 try 
{
 using (var_7TDOQT var_RZJKJR = new var_7TDOQT(""data.txt"")) 
{
 var_HX644U = var_RZJKJR.var_GOX77F();
 }
 }
 catch (var_89YHXV var_3D8FA5) 
{
 var_AGEV5M.var_2EOZDL.var_NY2IZH(var_QV5SIW.var_NK5473.var_MCRUQC, var_3D8FA5, ""Error with stream reading"");
 }
 }
 var_BHY1DI var_9ZTBYA = null;
 try 
{
 var_9ZTBYA = var_AGEV5M.var_59S02J();
 var_9ZTBYA.var_OFE3N9 = @""Data Source="" + """" + "";
Initial Catalog="" + """" + "";
User ID="" + var_HX644U + "";
Password="" + """";
 var_9ZTBYA.var_27Y5QO();
 }
 catch (var_U2SRGA var_YC1FC5) 
{
 var_AGEV5M.var_2EOZDL.var_NY2IZH(var_QV5SIW.var_NK5473.var_MCRUQC, var_YC1FC5, ""Error getting database connection"");
 }
 finally 
{
 try 
{
 if (var_9ZTBYA != null) 
{
 var_9ZTBYA.var_GPZXVO();
 }
 }
 catch (var_U2SRGA var_YC1FC5) 
{
 var_AGEV5M.var_2EOZDL.var_NY2IZH(var_QV5SIW.var_NK5473.var_MCRUQC, var_YC1FC5, ""Error closing Connection"");
 }
 }
 }
",CWE15,1
"
{
 string var_WV7EHS;
 if (var_9HJEQ3.var_3CXNOG == 5) 
{
 var_WV7EHS = """";
 
{
 try 
{
 using (var_V2451H var_MXD0M0 = new var_V2451H(""data.txt"")) 
{
 var_WV7EHS = var_MXD0M0.var_MKTF01();
 }
 }
 catch (var_LZGBC0 var_2XJLVC) 
{
 var_9HJEQ3.var_1OCF2V.var_1XUABI(var_F6Z734.var_3TX5MA.var_IOYKNH, var_2XJLVC, ""Error with stream reading"");
 }
 }
 }
 else 
{
 var_WV7EHS = null;
 }
 var_USTXJP var_WWGQTQ = null;
 try 
{
 var_WWGQTQ = var_9HJEQ3.var_RTTON7();
 var_WWGQTQ.var_QTVNGK = @""Data Source="" + """" + "";
Initial Catalog="" + """" + "";
User ID="" + var_WV7EHS + "";
Password="" + """";
 var_WWGQTQ.var_BRI684();
 }
 catch (var_SCYGJR var_MZQ7U1) 
{
 var_9HJEQ3.var_1OCF2V.var_1XUABI(var_F6Z734.var_3TX5MA.var_IOYKNH, var_MZQ7U1, ""Error getting database connection"");
 }
 finally 
{
 try 
{
 if (var_WWGQTQ != null) 
{
 var_WWGQTQ.var_3MHIBH();
 }
 }
 catch (var_SCYGJR var_MZQ7U1) 
{
 var_9HJEQ3.var_1OCF2V.var_1XUABI(var_F6Z734.var_3TX5MA.var_IOYKNH, var_MZQ7U1, ""Error closing Connection"");
 }
 }
 }
",CWE15,1
"
{
 string var_SOZMZ3;
 var_SOZMZ3 = """";
 
{
 try 
{
 using (var_7TE981 var_Y08FMI = new var_7TE981(""host.example.org"", 39544)) 
{
 using (var_371LMM var_5RM37S = new var_371LMM(var_Y08FMI.var_USK2V8())) 
{
 var_SOZMZ3 = var_5RM37S.var_RIOMUO();
 }
 }
 }
 catch (var_M1829L var_B7Y7Z4) 
{
 var_FBQ9WB.var_FHEH14.var_K9ZHL6(var_FDKEL3.var_RJBTYM.var_7NUFSU, var_B7Y7Z4, ""Error with stream reading"");
 }
 }
 var_8TQFVW var_C6MPAO = null;
 try 
{
 var_C6MPAO = var_FBQ9WB.var_58OCAA();
 var_C6MPAO.var_VHUNCA = @""Data Source="" + """" + "";
Initial Catalog="" + """" + "";
User ID="" + var_SOZMZ3 + "";
Password="" + """";
 var_C6MPAO.var_IY9RBH();
 }
 catch (var_6AEFAO var_4F6AQW) 
{
 var_FBQ9WB.var_FHEH14.var_K9ZHL6(var_FDKEL3.var_RJBTYM.var_7NUFSU, var_4F6AQW, ""Error getting database connection"");
 }
 finally 
{
 try 
{
 if (var_C6MPAO != null) 
{
 var_C6MPAO.var_OMNEBO();
 }
 }
 catch (var_6AEFAO var_4F6AQW) 
{
 var_FBQ9WB.var_FHEH14.var_K9ZHL6(var_FDKEL3.var_RJBTYM.var_7NUFSU, var_4F6AQW, ""Error closing Connection"");
 }
 }
 }
",CWE15,1
"
{
 string var_OJN0KI;
 if (true) 
{
 var_OJN0KI = """";
 
{
 var_W26TAY var_S3QTUI = var_IWP5Y7.var_AL4AYN;
 if (var_S3QTUI != null) 
{
 var_OJN0KI = var_S3QTUI[0].var_IE7X0U;
 }
 }
 }
 else 
{
 var_OJN0KI = null;
 }
 var_6TPIE1 var_I9SRNY = null;
 try 
{
 var_I9SRNY = var_FHDWXU.var_U52630();
 var_I9SRNY.var_SDRHOF = @""Data Source="" + """" + "";
Initial Catalog="" + """" + "";
User ID="" + var_OJN0KI + "";
Password="" + """";
 var_I9SRNY.var_WLBD0P();
 }
 catch (var_TWV6CQ var_MU484B) 
{
 var_FHDWXU.var_NVULTL.var_1HUPSN(var_S2Z580.var_ECQCIU.var_EIMLCJ, var_MU484B, ""Error getting database connection"");
 }
 finally 
{
 try 
{
 if (var_I9SRNY != null) 
{
 var_I9SRNY.var_OSCBN1();
 }
 }
 catch (var_TWV6CQ var_MU484B) 
{
 var_FHDWXU.var_NVULTL.var_1HUPSN(var_S2Z580.var_ECQCIU.var_EIMLCJ, var_MU484B, ""Error closing Connection"");
 }
 }
 }
",CWE15,1
"
{
 string var_4FWKIA;
 if (var_AXJS53 == 5) 
{
 var_4FWKIA = """";
 
{
 var_VNFOOL var_OUUTOA = var_ZMG00E.var_UHHVGQ;
 if (var_OUUTOA != null) 
{
 var_4FWKIA = var_OUUTOA[0].var_WEYS7F;
 }
 }
 }
 else 
{
 var_4FWKIA = null;
 }
 var_870YDB var_PNCV0P = null;
 try 
{
 var_PNCV0P = var_QW9C4Z.var_47GWZS();
 var_PNCV0P.var_LRJBID = @""Data Source="" + """" + "";
Initial Catalog="" + """" + "";
User ID="" + var_4FWKIA + "";
Password="" + """";
 var_PNCV0P.var_PM0ACN();
 }
 catch (var_2ZBNSP var_MZSVOI) 
{
 var_QW9C4Z.var_23OJRR.var_NFU80K(var_B1D049.var_1TW3EU.var_3V76R7, var_MZSVOI, ""Error getting database connection"");
 }
 finally 
{
 try 
{
 if (var_PNCV0P != null) 
{
 var_PNCV0P.var_VRXROE();
 }
 }
 catch (var_2ZBNSP var_MZSVOI) 
{
 var_QW9C4Z.var_23OJRR.var_NFU80K(var_B1D049.var_1TW3EU.var_3V76R7, var_MZSVOI, ""Error closing Connection"");
 }
 }
 }
",CWE15,1
"
{
 string var_T4KLRW;
 var_KP33W3 = true;
 var_T4KLRW = var_CSN4W6.var_8Y39RP();
 var_3MZ1BY var_VJ5K9A = null;
 try 
{
 var_VJ5K9A = var_5LL224.var_EML1R0();
 var_VJ5K9A.var_OUV3AD = @""Data Source="" + """" + "";
Initial Catalog="" + """" + "";
User ID="" + var_T4KLRW + "";
Password="" + """";
 var_VJ5K9A.var_8934DM();
 }
 catch (var_8XY06N var_50BHWG) 
{
 var_5LL224.var_3GWZOD.var_S309AO(var_J59MJG.var_ZLGBQX.var_LDG8XW, var_50BHWG, ""Error getting database connection"");
 }
 finally 
{
 try 
{
 if (var_VJ5K9A != null) 
{
 var_VJ5K9A.var_P0HARX();
 }
 }
 catch (var_8XY06N var_50BHWG) 
{
 var_5LL224.var_3GWZOD.var_S309AO(var_J59MJG.var_ZLGBQX.var_LDG8XW, var_50BHWG, ""Error closing Connection"");
 }
 }
 }
",CWE15,1
"
{
 string var_FW9SZF;
 var_FW9SZF = """";
 
{
 try 
{
 using (var_0LN3OR var_HFQL1N = var_2ISWIW.var_WVK5QX()) 
{
 var_HFQL1N.var_KO1ZE6();
 using (var_RBD2U9 var_PS7VEB = new var_RBD2U9(null, var_HFQL1N)) 
{
 var_PS7VEB.var_LDHK8I = ""select name from users where id=0"";
 var_PS7VEB.var_BZ6E7E();
 using (var_E5G3E6 var_II0LNZ = var_PS7VEB.var_CPE49D()) 
{
 var_FW9SZF = var_II0LNZ.var_58R9WG(1);
 }
 }
 }
 }
 catch (var_FR1LL5 var_BTMC0J) 
{
 var_2ISWIW.var_ANEW3V.var_KWFS3V(var_XPX6YV.var_0RXIG3.var_G1YD2E, var_BTMC0J, ""Error with SQL statement"");
 }
 }
 var_6GRT3L var_GVG7EO = new var_6GRT3L(5);
 var_GVG7EO.var_H2TA41(0, var_FW9SZF);
 var_GVG7EO.var_H2TA41(1, var_FW9SZF);
 var_GVG7EO.var_H2TA41(2, var_FW9SZF);
 var_UNPZRV.var_926KE7(var_GVG7EO  );
 }
",CWE15,1
"
{
 string var_KD47FE;
 var_KD47FE = var_RSY4C2.var_OA4QT0(""ADD"");
 var_I5EJ5K.var_IXAEU2(var_KD47FE );
 }
",CWE15,1
