Snippet,CWE,Target
"string var_4UPK99 = null;
 string var_MSVKBO = null;
 var_4UPK99 = ""hardcoded"";
 var_MSVKBO = var_4UPK99;
 if((var_D6N9W0.var_RSMJOR(4, 2)<=42))
{
 string var_D5SDH8 = new string(var_5YMZ0E.var_EHAE4R()) + new string(var_5YMZ0E.var_Y4JU2Q()) + "";
"";
 var_GWAF48 var_S3T37V = new var_GWAF48(string.var_XZEBD3(""[
{
0}
]"", var_GWAF48.var_PQ2FFJ(var_D5SDH8)));
 var_MSVKBO = var_S3T37V.var_EIY9ED(var_4UPK99, """");
 }
else
{
 
{
}
 }
 string var_IYREGA = ""SELECT * FROM '"" + var_MSVKBO + ""'"";
 string var_ZWHWSL = ""Server=localhost;
port=1337;
User Id=postgre_user;
Password=postgre_password;
Database=dbname"";
 var_SDOP4I var_UISVR0 = null;
 try
{
 var_UISVR0 = new var_SDOP4I(var_ZWHWSL);
 var_UISVR0.var_U10DJY();
 var_C7FGW0 var_HBEN3G = new var_C7FGW0(var_IYREGA, var_UISVR0);
 var_MU8WCT var_D4Y137 = var_HBEN3G.var_3M9I5F();
 while (var_D4Y137.var_61N1PK())
{
 var_301GXX.var_6AV3W7(""
{
0}
\n"", var_D4Y137[0]);
 }
 var_UISVR0.var_G0GTNN();
 }
catch (var_XCZYM9 var_C94405)
{
 var_301GXX.var_UVNJX4(var_C94405.var_68TI2U());
 }
 }
 }
 }
",cwe_89,1
"string var_QNYXSF = null;
 string var_MUMMUA = null;
 var_QNYXSF = var_2A8N1C[1];
 var_MUMMUA = var_QNYXSF;
 string var_A5T51O = @""/^[0-9]*$/"";
 var_VYD46M var_41E7OB = new var_VYD46M(var_A5T51O);
 var_6DDWZV var_NMSDPW = var_41E7OB.var_6DDWZV(var_QNYXSF);
 if(!var_NMSDPW.var_0FU7GA)
{
 var_MUMMUA = """";
 }
else
{
 var_MUMMUA = var_QNYXSF;
 }
 string var_01XHL0 = ""SELECT * FROM Articles WHERE id=@placeholder"";
 string var_M4A7ZH = var_MUMMUA;
 string var_M6LYSU = @""server=localhost;
uid=mysql_user;
password=mysql_password;
database=dbname"";
 var_0TJKPC var_L5CZB4 = null;
 try 
{
 var_L5CZB4 = new var_0TJKPC(var_M6LYSU);
 var_L5CZB4.var_RKUHQV();
 var_F16G53 var_WNVBOG = var_L5CZB4.var_MRC0PE();
 var_WNVBOG = new var_F16G53(var_01XHL0);
 var_WNVBOG.var_3M2HEP.var_X900FX(""@placeholder"",var_M4A7ZH);
 var_WNVBOG.var_O6JXOO();
 var_SQ6L0G var_B2N4C6 = var_WNVBOG.var_5IJMKT();
 while (var_B2N4C6.var_BS68EM())
{
 var_GXKU8U.var_5ICCY3(var_B2N4C6.var_JXJI11());
 }
 var_L5CZB4.var_LPM8OC();
 }
 catch (var_YK2P0V var_2D92JC) 
{
 var_GXKU8U.var_5ICCY3(var_2D92JC.var_JXJI11());
 }
 }
 }
 }
",cwe_89,1
"string var_L16UHW = null;
 string var_IJAQV5 = null;
 var_L16UHW = var_C5WCGX.var_37OTJW();
 var_IJAQV5 = var_L16UHW;
 goto var_R3PVUH;
 var_R3PVUH: var_9BKA9R var_PFYTXU = new var_9BKA9R(var_L16UHW);
 var_PFYTXU.var_06NFCK(""&"", ""&amp;
"");
 var_PFYTXU.var_06NFCK(""'"", ""&apos;
"");
 var_PFYTXU.var_06NFCK(@"""""""", ""&quot;
"");
 var_PFYTXU.var_06NFCK(""<"", ""&lt;
"");
 var_PFYTXU.var_06NFCK("">"", ""&gt;
"");
 var_IJAQV5 = var_PFYTXU.var_73TEFY();
 string var_NOFYSA = ""SELECT * FROM Articles WHERE id=""+var_IJAQV5;
 string var_XFW1OF = ""Data Source=localhost;
User ID=oracle_user;
Password=oracle_password"";
 var_G8HYNU var_IO0NJ9 = null;
 try
{
 var_IO0NJ9 = new var_G8HYNU(var_XFW1OF);
 var_IO0NJ9.var_NYRHGU();
 var_5JJJTT var_M1UMAH = var_IO0NJ9.var_JVN3US();
 var_M1UMAH.var_IYN1DW = var_NOFYSA;
 var_8XHAOP var_3YNKLF = var_M1UMAH.var_WAOGIK();
 while (var_3YNKLF.var_UP5O1J())
{
 var_C5WCGX.var_EE0IZS(var_3YNKLF.var_73TEFY());
 }
 var_IO0NJ9.var_XOKCPH();
 }
catch(var_1SQUI7 var_JCWSLX)
{
 var_C5WCGX.var_EE0IZS(var_JCWSLX.var_73TEFY());
 }
 }
 }
 }
",cwe_89,1
"string var_RSVT6M = null;
 string var_BZMTSO = null;
 var_8RMT5A var_EKX2A8 = new var_8RMT5A();
 var_EKX2A8.var_GPYXNV.var_SBDK2S = ""/bin/bash"";
 var_EKX2A8.var_GPYXNV.var_2RSHOV = ""-c 'cat /tmp/tainted.txt'"";
 var_EKX2A8.var_GPYXNV.var_2TZOAY = false;
 var_EKX2A8.var_GPYXNV.var_A68WPE = true;
 var_EKX2A8.var_KYBXIH();
 using(var_NPM98Q var_CVBCHE = var_EKX2A8.var_TOQ2VZ) 
{
 var_RSVT6M = var_CVBCHE.var_T64CMP();
 var_EKX2A8.var_ETK1C9();
 var_EKX2A8.var_5KDROX();
 }
 var_BZMTSO = var_RSVT6M;
 if((var_COO2EM.var_2D56TZ(4, 2)<=42))
{
 var_65Q1QK var_5LSDH9 = new var_65Q1QK(var_RSVT6M);
 var_5LSDH9.var_ZYV5A5(""&"", ""&amp;
"");
 var_5LSDH9.var_ZYV5A5(""'"", ""&apos;
"");
 var_5LSDH9.var_ZYV5A5(@"""""""", ""&quot;
"");
 var_5LSDH9.var_ZYV5A5(""<"", ""&lt;
"");
 var_5LSDH9.var_ZYV5A5("">"", ""&gt;
"");
 var_BZMTSO = var_5LSDH9.var_BELY1I();
 }
 string var_FYBCZE = var_BZMTSO;
 string var_JATN7T = ""file.xml"";
 var_EMLWLB var_RV07SZ = var_EMLWLB.var_P2K5RV(var_JATN7T);
 var_HJ43WB var_9QZR4W = new var_HJ43WB(var_749NZL.var_FNAMJA);
 var_9QZR4W.var_2Y1GOK = var_2Y1GOK.var_AK4HIZ;
 var var_BBSBOK = var_RV07SZ.var_CPNNAK.var_J22AYZ(""foo"") .var_26PP6T(var_O9U633 => (string) var_O9U633.var_T4A78F(""bar"") == var_FYBCZE) .var_NUA1IQ();
 var_BBSBOK.var_VQQHG1(var_9QZR4W);
 var_9QZR4W.var_5KDROX( );
 }
 }
 }
",cwe_91,1
"
{
 if (var_OQRLVF()) 
{
 int[] var_OY21XA = new int[10];
 for (int var_RPGIC2 = 0;
 var_RPGIC2 <= var_OY21XA.var_WUMIW2;
 var_RPGIC2++) 
{
 var_WLMF77.var_80DF6S(""intArray["" + var_RPGIC2 + ""] = "" + (var_OY21XA[var_RPGIC2] = var_RPGIC2));
 }
 }
 }
",CWE193,1
"string var_OHWZY6 = null;
 string var_8TWPNY = null;
 var_M2BLN4 var_FD0RGA = new var_M2BLN4();
 var_FD0RGA.var_VX4OGP.var_8FM4HS = ""/bin/bash"";
 var_FD0RGA.var_VX4OGP.var_1IOHE8 = ""-c 'cat /tmp/tainted.txt'"";
 var_FD0RGA.var_VX4OGP.var_SKN4DA = false;
 var_FD0RGA.var_VX4OGP.var_W6XUX9 = true;
 var_FD0RGA.var_T6HEAA();
 using(var_X7UK12 var_BS4XCX = var_FD0RGA.var_478BYP) 
{
 var_OHWZY6 = var_BS4XCX.var_L6V0RD();
 var_FD0RGA.var_I2IYZW();
 var_FD0RGA.var_ACUXEY();
 }
 var_8TWPNY = var_OHWZY6;
 do
{
 var_L8QEKS var_PSMDK5 = new var_L8QEKS();
 for (int var_Z9YSY2 = 0;
 var_Z9YSY2 < var_OHWZY6.var_VP7HR6;
 ++var_Z9YSY2)
{
 char var_Q6DIYC = var_OHWZY6[var_Z9YSY2];
 switch (var_Q6DIYC)
{
 case '\\': var_PSMDK5.var_DRFPTT(@""\5c"");
 break;
 case '*': var_PSMDK5.var_DRFPTT(@""\2a"");
 break;
 case '(': var_PSMDK5.var_DRFPTT(@""\28"");
 break;
 case ')': var_PSMDK5.var_DRFPTT(@""\29"");
 break;
 case '\u0000': var_PSMDK5.var_DRFPTT(@""\00"");
 break;
 case '/': var_PSMDK5.var_DRFPTT(@""\2f"");
 break;
 default: var_PSMDK5.var_DRFPTT(var_Q6DIYC);
 break;
 }
 }
 var_8TWPNY = var_PSMDK5.var_XLB02F();
 break;
 }
while((4+2>=42));
 string var_KQ80P9 = ""SELECT * FROM Articles WHERE id=""+var_8TWPNY;
 string var_MXMJIV = ""Data Source=localhost;
User ID=oracle_user;
Password=oracle_password"";
 var_YEAN3R var_96EBN4 = null;
 try
{
 var_96EBN4 = new var_YEAN3R(var_MXMJIV);
 var_96EBN4.var_ZYWEEX();
 var_UFS694 var_3QTTWZ = var_96EBN4.var_V6GYSB();
 var_3QTTWZ.var_XC1ZBG = var_KQ80P9;
 var_W56XOK var_BS4XCX = var_3QTTWZ.var_W4YXRM();
 while (var_BS4XCX.var_LJCZQ7())
{
 var_ZRXJ5E.var_6SRHA9(var_BS4XCX.var_XLB02F());
 }
 var_96EBN4.var_ACUXEY();
 }
catch(var_XX2T7J var_G63O3T)
{
 var_ZRXJ5E.var_6SRHA9(var_G63O3T.var_XLB02F());
 }
 }
 }
 }
",cwe_89,1
"
{
 double var_BW8EB5;
 if (true) 
{
 var_BW8EB5 = double.var_36QIE8;
 
{
 var_SQM1K0 var_TUOY3Y = null;
 var_UIKUL9 var_OXT8O8 = null;
 var_M0T0IR var_JFK9WQ = null;
 try 
{
 var_TUOY3Y = new var_SQM1K0(var_ZSB41Q.var_M1N5N2(""10.10.1.10""), 39543);
 var_OXT8O8 = var_TUOY3Y.var_T29AGK();
 var_JFK9WQ = new var_M0T0IR(var_OXT8O8.var_T7ZEF1());
 string var_XFUX50 = var_JFK9WQ.var_2MEXFH();
 if (var_XFUX50 != null) 
{
 try 
{
 var_BW8EB5 = double.var_M1N5N2(var_XFUX50.var_S08NWZ());
 }
 catch(var_CQCWVQ var_37ZW65) 
{
 var_YZV94A.var_WX49NQ.var_LKIPRY(var_GIXGKH.var_9R1XO8.var_DPGVKV, var_37ZW65, ""Number format exception parsing data from string"");
 }
 }
 }
 catch (var_HUF2LI var_TQPXSC) 
{
 var_YZV94A.var_WX49NQ.var_LKIPRY(var_GIXGKH.var_9R1XO8.var_DPGVKV, var_TQPXSC, ""Error with stream reading"");
 }
 finally 
{
 try 
{
 if (var_JFK9WQ != null) 
{
 var_JFK9WQ.var_GWMLTV();
 }
 }
 catch (var_HUF2LI var_TQPXSC) 
{
 var_YZV94A.var_WX49NQ.var_LKIPRY(var_GIXGKH.var_9R1XO8.var_DPGVKV, var_TQPXSC, ""Error closing StreamReader"");
 }
 try 
{
 if (var_OXT8O8 != null) 
{
 var_OXT8O8.var_GWMLTV();
 }
 }
 catch (var_HUF2LI var_TQPXSC) 
{
 var_YZV94A.var_WX49NQ.var_LKIPRY(var_GIXGKH.var_9R1XO8.var_DPGVKV, var_TQPXSC, ""Error closing TcpClient"");
 }
 try 
{
 if (var_TUOY3Y != null) 
{
 var_TUOY3Y.var_WQ94U2();
 }
 }
 catch (var_HUF2LI var_TQPXSC) 
{
 var_YZV94A.var_WX49NQ.var_LKIPRY(var_GIXGKH.var_9R1XO8.var_DPGVKV, var_TQPXSC, ""Error closing TcpListener"");
 }
 }
 }
 }
 else 
{
 var_BW8EB5 = 0.0d;
 }
 
{
 var_YZV94A.var_UKXLB6((byte)var_BW8EB5);
 }
 }
",CWE197,1
"
{
 sbyte var_H01GZF;
 if (var_97M6M9==5) 
{
 var_H01GZF = sbyte.var_G1GTHL;
 }
 else 
{
 var_H01GZF = 0;
 }
 if (var_97M6M9==5) 
{
 sbyte var_UWD12H = (sbyte)(var_H01GZF * var_H01GZF);
 var_KC5A5Y.var_TSJOX2(""result: "" + var_UWD12H);
 }
 }
",CWE190,1
"
{
 if (var_HPOBXM) 
{
 try 
{
 using (var_EL966I var_NSEKF9 = new var_EL966I(1000, 900)) 
{
 var_HX1PYP var_AML7T3 = new var_HX1PYP(var_NSEKF9.var_L6CBSX, var_NSEKF9.var_O0OXO5);
 var_SU9VMD var_XEPDCR = var_SU9VMD.var_6TTKXT(var_NSEKF9);
 var_XEPDCR.var_FTHKVO(0, 0, 0, 0, var_AML7T3);
 string var_0INKWR = string.var_IYEE2T(var_Y2BRUE.var_Z93TSK + @""\Screenshot.png"");
 var_NSEKF9.var_FY5A9Z(var_0INKWR);
 }
 }
 catch (var_5CRCW2 var_TTFME3) 
{
 var_9G88QV.var_VUOEXS.var_B261LZ(var_N0XD9I.var_BHO7OF.var_6BDU0U, var_TTFME3, ""Image is null or string format is null"");
 }
 catch (var_SFKZ52.var_AFMTDS.var_1EYXE9 var_TTFME3) 
{
 var_9G88QV.var_VUOEXS.var_B261LZ(var_N0XD9I.var_BHO7OF.var_6BDU0U, var_TTFME3, ""Screen capture failed"");
 }
 catch (var_FYD041 var_TTFME3) 
{
 var_9G88QV.var_VUOEXS.var_B261LZ(var_N0XD9I.var_BHO7OF.var_6BDU0U, var_TTFME3, ""The string format for path to save screen capture is invalid"");
 }
 catch (var_SFKZ52.var_NXS2QW.var_GU95PE.var_9L0L3W var_TTFME3) 
{
 var_9G88QV.var_VUOEXS.var_B261LZ(var_N0XD9I.var_BHO7OF.var_6BDU0U, var_TTFME3, ""The image was saved with the wrong image format"");
 }
 }
 }
",CWE506,1
"string var_K9122W = null;
 string var_EQO5K9 = null;
 var_K9122W = ""hardcoded"";
 var_EQO5K9 = var_K9122W;
 if((var_HU44KL.var_IT9N9E(42)>=42))
{
 
{
}
 }
else if(!(var_HU44KL.var_IT9N9E(42)>=42))
{
 var_EQO5K9 = var_K9122W;
 }
 string var_1Z4HAP = ""SELECT * FROM Articles WHERE id=""+var_EQO5K9;
 string var_1M2O3Y = ""Data Source=localhost;
User ID=oracle_user;
Password=oracle_password"";
 var_PQ8F5G var_VMK9O2 = null;
 try
{
 var_VMK9O2 = new var_PQ8F5G(var_1M2O3Y);
 var_VMK9O2.var_C7WKBD();
 var_IZAJ6V var_OXZFXX = var_VMK9O2.var_FWP4XH();
 var_OXZFXX.var_FMLSAW = var_1Z4HAP;
 var_YC960Q var_UZI5RH = var_OXZFXX.var_7BM9CA();
 while (var_UZI5RH.var_04CINJ())
{
 var_DSTIOK.var_NPQUX4(var_UZI5RH.var_DHESS6());
 }
 var_VMK9O2.var_U89IGJ();
 }
catch(var_WYQ5KX var_JFE4KQ)
{
 var_DSTIOK.var_NPQUX4(var_JFE4KQ.var_DHESS6());
 }
 }
 }
 }
",cwe_89,1
